Date,Total
1996-01-01,20322
1996-02-01,20613
1996-03-01,22704
1996-04-01,20276
1996-05-01,20669
1996-06-01,18074
1996-07-01,18719
1996-08-01,20217
1996-09-01,19642
1996-10-01,20842
1996-11-01,18204
1996-12-01,16898
1997-01-01,20746
1997-02-01,23058
1997-03-01,24624
1997-04-01,22154
1997-05-01,22444
1997-06-01,21471
1997-07-01,21866
1997-08-01,22548
1997-09-01,21518
1997-10-01,23408
1997-11-01,19645
1997-12-01,18278
1998-01-01,23576
1998-02-01,26650
1998-03-01,26207
1998-04-01,23195
1998-05-01,22960
1998-06-01,23002
1998-07-01,22973
1998-08-01,24089
1998-09-01,22805
1998-10-01,23241
1998-11-01,21581
1998-12-01,21119
1999-01-01,23107
1999-02-01,25780
1999-03-01,28544
1999-04-01,23488
1999-05-01,23964
1999-06-01,23720
1999-07-01,25069
1999-08-01,24618
1999-09-01,24430
1999-10-01,25229
1999-11-01,22344
1999-12-01,22372
2000-01-01,25412
2000-02-01,25354
2000-03-01,29161
2000-04-01,24924
2000-05-01,24763
2000-06-01,25342
2000-07-01,24911
2000-08-01,25847
2000-09-01,23743
2000-10-01,25036
2000-11-01,21911
2000-12-01,20752
2001-01-01,24507
2001-02-01,25968
2001-03-01,28752
2001-04-01,25167
2001-05-01,24728
2001-06-01,23690
2001-07-01,24816
2001-08-01,26004
2001-09-01,24210
2001-10-01,25083
2001-11-01,21807
2001-12-01,21635
2002-01-01,27173
2002-02-01,29308
2002-03-01,28645
2002-04-01,25023
2002-05-01,27261
2002-06-01,24670
2002-07-01,26441
2002-08-01,27961
2002-09-01,26498
2002-10-01,27800
2002-11-01,23939
2002-12-01,22930
2003-01-01,27584
2003-02-01,27586
2003-03-01,30485
2003-04-01,26135
2003-05-01,27370
2003-06-01,25487
2003-07-01,26427
2003-08-01,27672
2003-09-01,26853
2003-10-01,27875
2003-11-01,23416
2003-12-01,22482
2004-01-01,27140
2004-02-01,28526
2004-03-01,28845
2004-04-01,25033
2004-05-01,24764
2004-06-01,24896
2004-07-01,24623
2004-08-01,26538
2004-09-01,24674
2004-10-01,25863
2004-11-01,23156
2004-12-01,22721
2005-01-01,26204
2005-02-01,26526
2005-03-01,27473
2005-04-01,24536
2005-05-01,25764
2005-06-01,25154
2005-07-01,23729
2005-08-01,25336
2005-09-01,24649
2005-10-01,25904
2005-11-01,22868
2005-12-01,21825
2006-01-01,26955
2006-02-01,27349
2006-03-01,29367
2006-04-01,24071
2006-05-01,23173
2006-06-01,21740
2006-07-01,22056
2006-08-01,23923
2006-09-01,22189
2006-10-01,22458
2006-11-01,19476
2006-12-01,21056
2007-01-01,22842
2007-02-01,22943
2007-03-01,23445
2007-04-01,19176
2007-05-01,22058
2007-06-01,19451
2007-07-01,20378
2007-08-01,21778
2007-09-01,20431
2007-10-01,22486
2007-11-01,18889
2007-12-01,18574
2008-01-01,24658
